iter	Passed	Remaining
611	90998	47283
612	91156	47139
613	91286	46981
614	91429	46829
615	91575	46679
616	91716	46527
617	91846	46369
618	91992	46218
619	92149	46074
620	92298	45926
621	92450	45779
622	92602	45632
623	92805	45510
624	92962	45365
625	93119	45221
626	93283	45079
627	93421	44925
628	93562	44773
629	93721	44629
630	93893	44491
631	94027	44335
632	94157	44178
633	94291	44022
634	94461	43883
635	94598	43729
636	94743	43579
637	94891	43429
638	95034	43278
639	95169	43123
640	95327	42979
641	95488	42836
642	95642	42689
643	95784	42537
644	95931	42388
645	96107	42251
646	96281	42113
647	96451	41974
648	96606	41828
649	96767	41684
650	96915	41535
651	97078	41392
652	97236	41247
653	97392	41101
654	97544	40953
655	97710	40811
656	97861	40663
657	98013	40516
658	98155	40364
659	98296	40212
660	98455	40067
661	98597	39915
662	98736	39762
663	98881	39612
664	99078	39482
665	99240	39338
666	99388	39189
667	99540	39041
668	99686	38891
669	99825	38738
670	100051	38619
671	100225	38479
672	100378	38331
673	100517	38178
674	100652	38024
675	100799	37874
676	100941	37722
677	101079	37569
678	101222	37418
679	101377	37271
680	101536	37125
681	101680	36974
682	101833	36826
683	101980	36677
684	102143	36532
685	102288	36382
686	102438	36233
687	102604	36090
688	102754	35941
689	102923	35799
690	103090	35656
691	103225	35502
692	103361	35348
693	103501	35196
694	103646	35045
695	103787	34894
696	103932	34743
697	104077	34593
698	104229	34444
699	104365	34291
700	104522	34144
701	104677	33997
702	104822	33847
703	105001	33707
704	105149	33558
705	105303	33410
706	105452	33261
707	105606	33114
708	105747	32962
709	105895	32812
710	106084	32675
711	106241	32529
712	106416	32387
713	106577	32241
714	106734	32095
715	106890	31947
716	107062	31805
717	107205	31654
718	107373	31510
719	107521	31360
720	107668	31210
721	107835	31066
722	107972	30913
723	108119	30763
724	108265	30612
725	108403	30460
726	108554	30311
727	108694	30159
728	108841	30009
729	108994	29861
730	109175	29720
731	109320	29570
732	109471	29421
733	109628	29273
734	109773	29123
735	109926	28975
736	110062	28822
737	110200	28669
738	110340	28518
739	110483	28367
740	110638	28219
741	110772	28066
742	110917	27915
743	111056	27764
744	111204	27614
745	111351	27464
746	111484	27311
747	111608	27156
748	111755	27006
749	111900	26856
750	112040	26704
751	112173	26551
752	112317	26401
753	112446	26247
754	112587	26096
755	112727	25945
756	112859	25792
757	113003	25641
758	113142	25490
759	113272	25337
760	113413	25186
761	113589	25043
762	113738	24894
763	113879	24743
764	114017	24592
765	114162	24442
766	114319	24294
767	114477	24147
768	114624	23998
769	114767	23847
770	114911	23697
771	115062	23549
772	115213	23400
773	115358	23250
774	115507	23101
775	115660	22953
776	115807	22803
777	115950	22653
778	116094	22503
779	116243	22354
780	116383	22203
781	116528	22053
782	116668	21903
783	116828	21756
784	116974	21606
785	117118	21456
786	117257	21305
787	117406	21156
788	117546	21006
789	117682	20855
790	117833	20706
791	117979	20557
792	118122	20406
793	118258	20255
794	118424	20109
795	118561	19958
796	118710	19809
797	118856	19660
798	119009	19512
799	119139	19360
800	119291	19211
801	119439	19062
802	119583	18912
803	119726	18763
804	119866	18612
805	120018	18464
806	120154	18313
807	120297	18163
808	120438	18013
809	120572	17862
810	120706	17711
811	120875	17565
812	121016	17415
813	121169	17267
814	121307	17117
815	121466	16969
816	121604	16819
817	121773	16673
818	121920	16524
819	122055	16373
820	122193	16222
821	122337	16073
822	122480	15923
823	122622	15774
824	122766	15624
825	122895	15473
826	123043	15324
827	123187	15175
828	123336	15026
829	123498	14879
830	123644	14730
831	123778	14579
832	123913	14429
833	124052	14279
834	124196	14130
835	124343	13981
836	124493	13832
837	124642	13683
838	124793	13535
839	124933	13385
840	125078	13236
841	125221	13087
842	125358	12937
843	125510	12789
844	125663	12640
845	125801	12490
846	125941	12341
847	126101	12193
848	126242	12044
849	126392	11895
850	126536	11746
851	126692	11598
852	126853	11451
853	127000	11302
854	127147	11153
855	127290	11004
856	127425	10854
857	127572	10705
858	127711	10555
859	127851	10406
860	128004	10258
861	128158	10109
862	128298	9960
863	128527	9818
864	128671	9668
865	128831	9521
866	128994	9373
867	129145	9224
868	129294	9075
869	129440	8926
870	129593	8778
871	129733	8629
